"id";"name.it";"name.en";"imageId"
"1";"Cereali e derivati";"Cereals containing gluten";"585"
"2";"Crostacei e derivati";"Crustaceans and products thereof";"586"
"3";"Uova e derivati";"Eggs and products thereof";"587"
"4";"Pesce e derivati";"Fish and products thereof";"588"
"5";"Arachidi e derivati";"Peanuts and products thereof";"589"
"6";"Soia e derivati";"Soybeans and products thereof";"590"
"7";"Latte e derivati";"Milk and products thereof";"591"
"8";"Frutta a guscio e derivati";"Nuts ";"592"
"9";"Sedano e derivati";"Celery and products thereof";"593"
"10";"Senape e derivati";"Mustard and products thereof";"594"
"11";"Sesamo e derivati";"Sesame seeds and products thereof";"595"
"12";"Anidride solforosa e solfiti";"Sulphur dioxide and sulphites";"596"
"13";"Lupini e derivati";"Lupin and products thereof";"597"
"14";"Molluschi e derivati";"Molluscs and products thereof";"598"
