"id";"name.it";"name.en";"description.it";"description.en";"enabled";"imageId";"price"
"1";"Margherita";"Margherita";"";"";"1";"107";"13"
"2";"Diavola";"Diavola";"";"";"1";"108";"15"
"3";"Vegetariana";"Vegetarian";"";"";"1";"109";"14"
"4";"Cetarese";"Cetarese";"";"";"1";"110";"16"
"5";"Crudo, Rucola e Grana";"Parma ham,rocket salad and Parmesan cheese";"";"";"1";"111";"16"
"6";"Ligure";"from Liguria";"";"";"0";"112";"14"
"7";"Tonno e Cipolla";"Tuna and Onion";"";"";"1";"113";"15"
"16";"Degustazione di Cinque Cicchetti (1 persona)";"Tasting of five appetizers (for 1 people)";"";"";"1";"122";"28"
"17";"Burrata,Prosciutto crudo di Parma, Crostone e pomodorini confit";"Creamy mozzarella,Parma Ham, Garlic toasted bread and tomatoes confit⚠️Warning spoiler: our ham is so good that the seagulls go crazy for it.⚠️";"";"";"1";"123";"24"
"18";"Piovra Grigliata su Vellutata di Ceci e Porro";"Octopus grilled served on creamed Chick Peas and Leeks";"";"";"0";"124";"22"
"19";"Tavolozza di Crudo a seconda del pescato del giorno";"Large selection of mix raw fish from Rialto Market";"";"";"1";"125";"36"
"20";"Catalana di Scampi e Gamberi con Chips di Verdurine";"Warm salad of Scampi and Shrimps, onions, balsamic, Crispy vegetables";"";"";"1";"126";"28"
"21";"Alici Indorate e fritte con Salsa Agrodolce di Cipolla Caramellata";"Panfried Anchovies with sweet and sour onion sauce ";"";"";"1";"127";"20"
"22";"La Parmigiana di Melanzane";"Eggplaint Parmesan Pie";"";"";"1";"128";"20"
"23";"Zuppetta di Cozze Piccantina con Crostoni di pane";"Spicy mussel soup with toasted Garlic Bread";"";"";"0";"129";"18"
"25";"Paccheri al Ragù di Spada, Olive di Gaeta e Capperi di Pantelleria";"Paccheri Pasta With Swordfish In Olives And Capers Sauce";"";"";"1";"131";"26"
"26";"Bigoli in Salsa alla Nostra Maniera";"Bigolii Pasta in our way ";"Bigolii in salsa di alici ,pomodorini gialli e finocchietto selvatico su cipolla di tropea caramellata con spolverata di noci tritate";"Bigoli in anchovy sauce, yellow cherry tomatoes and wild fennel on caramelized Tropea onion with a sprinkling of chopped walnuts";"0";"132";"23"
"27";"Rigatoni alla Carbonara di Mare con Polvere di Bottarga";"Maccaroni Pasta in Seafood Carbonara Sauce and Bottarga";"";"";"1";"133";"28"
"28";"Scialatielli della Divina Costiera";"Home made tagliatelle with daily selection seafood out of shell";"Tagliatelle corte fatte in casa con selezione di frutti di mare già sgusciati";"Home made tagliatelle with daily selection seafood out of shell";"1";"134";"29"
"29";"Ravioli Ripieni al Branzino al Profumo dei Limoni di Amalfi";"Raviol Filled with  Bass Sautéed In Amalfi Lemon Sauce";"";"";"1";"135";"28"
"30";"Rigatoni con Straccetti di Manzo alla Puttanesca";"Maccaroni pasta with sliced beef in Puttanesca sauce";"";"";"0";"136";"24"
"31";"Fusilli Aumma-Aumma";"Home made Fusilli In Sauce Of Tomato,Eggplants And Smoked Mozzarella";"";"";"1";"137";"22"
"32";"Ravioli Ripieni al Taleggio Burro e Salvia su Giardino di Verdure";"Ravioli filled with Taleggio cheese on Seasonal Vegetables Ratatouille";"";"";"0";"138";"22"
"33";"Pescato Del Giorno Grigliato E Marinato Alla Scapece E Zucchine";"Catch of the day grilled and marinated In mint,vinaigrette & zucchini";"Trancio di pesce sfilettato";"Filleted fish steak";"1";"139";"33"
"34";"Pesce Al Forno Con Olive Di Gaeta E Capperi";"Catch of the day Baked in Cheery Tomatoes, Olives and Cappers";"Trancio di pesce sfilettato";"Filleted  fish steak";"1";"140";"33"
"35";"Tagliata Di Tonno In Crosta Di Pistacchio Su Agrodolce Di Arancio";"Sliced ​​tuna in pistachio crust on sweet and sour orange sauce";"in assenza di diponibilità di mercato possono essere usati prodotti abbattuti in bassa temperatura all'origine di Alta qualità tracciati come da legge";"in the absence of market availability,can be used high quality products with temperature reduction, traced as required by law";"1";"141";"32"
"36";"Frittura mista di pesce e verdure in pastella";"Mix fried Fish with battered vegetables";"";"";"0";"142";"33"
"38";"Brasato Di Manzo All’Amarone Con Polentina Fritta";"Braised beef cooked in amarone sauce with fried polenta";"";"";"0";"144";"29"
"39";"Maxi Milanese Di Maiale con panatura croccante e verdurine in agrodolce";"Large Milanese Pork with crunchy breading and sweet and sour vegetables";"";"";"1";"145";"34"
"40";"Filetto Di Manzo A Piacere (Pepe Verde,al Gorgonzola o alla Griglia";"Beef fillet ( Green pepper sauce,blue cheese sauce or grill)";"";"";"1";"146";"45"
