"id";"ingredientId";"foodItemId"
"29";"17";"9"
"30";"18";"9"
"31";"19";"9"
"32";"20";"9"
"33";"16";"10"
"34";"21";"10"
"35";"22";"10"
"36";"23";"10"
"37";"24";"10"
"38";"25";"10"
"39";"26";"10"
"40";"25";"11"
"41";"27";"11"
"42";"93";"11"
"43";"28";"11"
"44";"29";"11"
"45";"30";"11"
"46";"22";"11"
"47";"31";"11"
"48";"1";"12"
"49";"28";"12"
"50";"3";"12"
"295";"1";"6"
"296";"11";"6"
"297";"12";"6"
"298";"13";"6"
"299";"14";"6"
"467";"16";"2300"
"468";"43";"2300"
"469";"45";"2300"
"470";"46";"2300"
"471";"47";"2300"
"472";"32";"2311"
"473";"33";"2311"
"474";"34";"2311"
"475";"35";"2311"
"476";"36";"2311"
"477";"54";"2312"
"478";"55";"2312"
"479";"56";"2312"
"480";"89";"2312"
"481";"6";"2313"
"482";"75";"2313"
"483";"76";"2313"
"536";"23";"2335"
"537";"25";"2335"
"538";"28";"2335"
"539";"30";"2335"
"540";"31";"2335"
"541";"73";"2335"
"542";"93";"2335"
"543";"1";"2336"
"544";"2";"2336"
"545";"3";"2336"
"546";"1";"2337"
"547";"2";"2337"
"548";"4";"2337"
"549";"5";"2338"
"550";"6";"2338"
"551";"7";"2338"
"552";"1";"2338"
"553";"2";"2338"
"558";"8";"2340"
"559";"9";"2340"
"560";"10";"2340"
"561";"3";"2340"
"569";"1";"2343"
"570";"15";"2343"
"571";"16";"2343"
"572";"2";"2343"
"573";"17";"2345"
"574";"18";"2345"
"575";"19";"2345"
"576";"20";"2345"
"577";"25";"2346"
"578";"27";"2346"
"579";"93";"2346"
"580";"28";"2346"
"581";"29";"2346"
"582";"30";"2346"
"583";"22";"2346"
"584";"31";"2346"
"592";"16";"2348"
"593";"21";"2348"
"594";"22";"2348"
"595";"23";"2348"
"596";"24";"2348"
"597";"25";"2348"
"598";"26";"2348"
"599";"1";"2349"
"600";"28";"2349"
"601";"3";"2349"
"608";"23";"2354"
"609";"28";"2354"
"610";"56";"2354"
"611";"106";"2354"
"612";"107";"2354"
"613";"108";"2354"
"647";"23";"2203"
"648";"28";"2203"
"649";"56";"2203"
"650";"106";"2203"
"651";"107";"2203"
"652";"108";"2203"
"653";"10";"2359"
"654";"16";"2359"
"655";"23";"2359"
"656";"45";"2359"
"657";"56";"2359"
"658";"69";"2359"
"659";"9";"2360"
"660";"16";"2360"
"661";"23";"2360"
"662";"56";"2360"
"663";"108";"2360"
"664";"147";"2360"
"665";"1";"2342"
"666";"10";"2342"
"667";"38";"2342"
"668";"45";"2342"
"669";"88";"2342"
"679";"23";"2347"
"680";"25";"2347"
"681";"28";"2347"
"682";"29";"2347"
"683";"30";"2347"
"684";"31";"2347"
"685";"73";"2347"
"686";"93";"2347"
"694";"1";"2355"
"695";"15";"2355"
"696";"23";"2355"
"697";"28";"2355"
"698";"120";"2355"
"699";"146";"2355"
"700";"10";"2356"
"701";"23";"2356"
"702";"38";"2356"
"703";"45";"2356"
"704";"56";"2356"
"705";"69";"2356"
"706";"9";"2357"
"707";"16";"2357"
"708";"23";"2357"
"709";"56";"2357"
"710";"108";"2357"
"711";"147";"2357"
"806";"9";"2375"
"807";"16";"2375"
"808";"55";"2375"
"809";"56";"2375"
"810";"108";"2375"
"811";"147";"2375"
