"id";"name.it";"name.en";"description.it";"description.en";"enabled";"price";"isSpecial";"imageId";"registrationDate";"endDate";"priority"
"1";"Pranzo";"Lunch";"Menù riservato all'ora di pranzo";"Reserved menù for lunch";"1";\N;"0";"694";"2020-11-17 20:16:09";\N;"1"
"2";"Cena";"Dinner";"Menù riservato all'ora di cena";"Reserved menù for dinner";"1";\N;"0";"695";"2020-11-17 20:16:20";\N;"3"
"35";"Carta dei Vini";"Wine List";"";"";"1";\N;"0";"612";"2021-02-28 20:15:08";\N;"5"
"80";"Bar";"Bar";"";"";"1";\N;"0";"667";"2021-03-05 14:59:16";\N;"2"
"87";"Menu del Gondoliere";"Menu del Gondoliere";"Riservato per il pranzo esclusivamente ai lavoratori. COMPRENDE DUE PORTATE ,ACQUA,UN BICCHIERE DI VINO E CAFFE'";"";"0";"20";"0";"809";"2021-05-28 13:56:37";\N;"9"
"88";"Menu Gaia Informatica 2021";"Menu Gaia Informatica  2021";"Menù 4 Portate Comprensivo di Acqua, e caffè ";"Four Courses Menù ,Water, and Coffee included";"0";\N;"1";"863";"2021-06-14 11:23:01";\N;"10"
"89";"Menu eventi 2021";"Menu eventi 2021 ";"";"";"0";\N;"1";"877";"2021-06-14 12:04:48";"2021-11-02 12:03:00";"11"
"91";"BISTROT \"LIGHT LUNCH\"";"BISTROT \"LIGHT LUNCH\"";"DALLE 11 ALLE 17";"AVAILABLE FROM 11 PM TO 17 PM.";"0";\N;"1";"902";"2021-07-15 14:27:21";\N;"6"
"93";"MENU CENA Mediolanum      21-10-2021";"DINNER MENU Mediolanum       21-10-2021";"MENU A SCELTA TRA MARE E TERRA. ACQUA ,VINO E CAFFE COMPRESI";"CHOICE BETWEEN TWO MENU OPTIONS. WATER, WINE AND COFFEE INCLUDED . ";"0";\N;"1";"976";"2021-09-20 16:04:08";\N;"8"
"94";"MENU’ NATALIZIO ";"CHRISTMAS MENU’ ";"Menù a la carte valido nelle settimane Natalizie";"A la carte menu available on Christmas Weeks";"0";\N;"0";"1005";"2021-11-10 20:59:01";\N;"4"
"95";"Cenone di Capodanno 2024";"New Year's Eve dinner 2024";"Menu degustazione 6 portate comprensivo di Acqua, caffè e soft drink. Vini esclusi.Per qualsiasi informazione potete contattarci dai canali disponibili  sul nostro sito";"6-course tasting menu including water, coffee and soft drinks. Wines excluded. For any information you can contact us from the channels available on our site";"0";"180";"0";"1032";"2021-11-11 09:32:02";"2024-01-01 04:30:00";"7"
