"id";"menuId";"categoryId";"priority"
"1";"1";"1";"1"
"2";"1";"2";"2"
"3";"1";"3";"3"
"4";"1";"4";"4"
"5";"1";"5";"5"
"6";"1";"6";"12"
"7";"1";"7";"6"
"8";"1";"8";"7"
"9";"1";"9";"8"
"10";"1";"10";"11"
"11";"1";"11";"9"
"12";"2";"12";"1"
"13";"2";"13";"2"
"14";"2";"14";"3"
"15";"2";"15";"4"
"16";"2";"16";"5"
"17";"2";"17";"7"
"18";"2";"18";"6"
"32";"35";"38";"2"
"50";"35";"56";"5"
"51";"35";"57";"3"
"52";"35";"58";"8"
"53";"35";"59";"1"
"54";"35";"60";"9"
"61";"80";"67";"2"
"62";"80";"68";"5"
"63";"80";"69";"3"
"64";"35";"70";"3"
"65";"80";"71";"4"
"66";"1";"72";"10"
"67";"80";"73";"10"
"68";"80";"74";"11"
"69";"80";"75";"9"
"70";"80";"76";"6"
"76";"87";"82";"2"
"77";"87";"83";"3"
"78";"87";"84";"1"
"79";"80";"85";"1"
"80";"88";"86";"1"
"81";"88";"87";"2"
"82";"88";"88";"3"
"83";"88";"89";"5"
"84";"88";"90";"6"
"85";"89";"91";"1"
"86";"89";"92";"2"
"87";"89";"93";"3"
"88";"89";"94";"4"
"90";"91";"96";"2"
"91";"91";"97";"3"
"92";"91";"98";"4"
"93";"91";"99";"5"
"94";"91";"100";"6"
"100";"88";"106";"4"
"101";"93";"107";"1"
"102";"93";"108";"2"
"103";"35";"109";"10"
"104";"94";"110";"1"
"105";"94";"111";"2"
"106";"94";"112";"3"
"107";"94";"113";"4"
"108";"94";"114";"5"
"109";"95";"115";"1"
"110";"95";"116";"2"
"111";"95";"117";"3"
"113";"95";"119";"5"
"114";"95";"120";"6"
"116";"35";"122";"7"
"117";"35";"123";"6"
"119";"80";"125";"15"
"120";"80";"126";"16"
"121";"80";"127";"17"
"122";"80";"128";"8"
"123";"80";"129";"7"
"124";"80";"130";"12"
"125";"80";"131";"14"
"126";"80";"132";"13"
"127";"35";"133";"11"
"128";"35";"134";"12"
"129";"95";"135";"4"
"130";"91";"136";"1"
