"id";"name.it";"name.en";"imageId";"color"
"1";"Pesce";"Fish";"1";"#00bbd4"
"2";"Senza glutine";"Gluten free";"2";"#f9a825"
"3";"Vegetariano";"Vegetarian";"3";"#388e3c"
"4";"Piccante";"Spicy";"4";"#ff3c00"
"5";"Specialità";"Speciality";"5";"#ffc928"
"6";"Novità";"News";"6";"#a349a4"
"7";"Vino del mese";"Wine of the month";"7";"#ffecb3"
"8";"Vino biologico";"Organic Wine";"8";"#6a1b9a"
"9";"Eccellenza Italiana";"Italian Excellence";"9";"#6397d0"
"10";"Fatto in casa";"Homemade";"10";"#b71c1c"
"19";"Top Italian wine";"Top Italian wine";"675";"#f5ec00"
"26";"Piatto del mese";"Dish of the month";\N;"#dbc21f"
"27";"LAST ONE !!!!!";"LAST ONE !!!!!";"1142";"#f20202"
